Product_Collection;Vertical_Segment;Status;Launch_Date;Lithography;Recommended_Customer_Price;nb_of_Cores;nb_of_Threads;Processor_Base_Frequency;Cache_Size;Cache_Type;Instruction_Set;TDP;Max_Memory_Size;Max_nb_of_Memory_Channels;Max_Memory_Bandwidth
Legacy;Desktop;End of Interactive Support;2008;45;555;4;8;2930;2,079441542;SmartCache;64-bit;130;24;3;25,6
Legacy;Desktop;End of Interactive Support;2008;45;305;4;8;2660;2,079441542;SmartCache;64-bit;130;24;3;25,6
Legacy;Desktop;End of Interactive Support;2008;45;990;4;8;3200;2,079441542;SmartCache;64-bit;130;24;3;25,6
Legacy;Desktop;End of Interactive Support;2009;45;203;4;4;2660;2,079441542;SmartCache;64-bit;95;16;2;21
Legacy;Desktop;End of Interactive Support;2009;45;305;4;8;2930;2,079441542;SmartCache;64-bit;95;16;2;21
Legacy;Desktop;End of Interactive Support;2009;45;305;4;8;3060;2,079441542;SmartCache;64-bit;130;24;3;25,6
Legacy;Desktop;End of Interactive Support;2009;45;305;4;8;3200;2,079441542;SmartCache;64-bit;130;24;3;25,6
Legacy;Desktop;End of Interactive Support;2009;45;281;4;8;2800;2,079441542;SmartCache;64-bit;95;16;2;21
Legacy;Desktop;End of Interactive Support;2009;45;1059;4;8;3330;2,079441542;SmartCache;64-bit;130;24;3;25,6
Legacy;Embedded;Launched;2009;45;403;2;4;2000;2,079441542;SmartCache;64-bit;38;144;3;25,6
Legacy;Embedded;Launched;2009;45;504;4;8;2130;2,079441542;SmartCache;64-bit;60;144;3;25,6
Legacy;Mobile;End of Interactive Support;2009;45;380;4;8;1600;1,791759469;SmartCache;64-bit;45;8;2;21
Legacy;Server;Launched;2009;45;221;4;4;2000;1,386294361;SmartCache;64-bit;80;144;3;19,2
Legacy;Server;Launched;2009;45;940;4;8;2530;2,079441542;SmartCache;64-bit;80;144;3;25,6
Legacy;Server;End of Life;2009;45;305;4;8;1860;2,079441542;SmartCache;64-bit;45;32;2;21
Legacy;Server;End of Life;2009;45;305;4;8;2660;2,079441542;SmartCache;64-bit;130;24;3;25,6
Legacy;Server;Launched;2009;45;213,5;4;4;2400;2,079441542;SmartCache;64-bit;95;32;2;21
Legacy;Server;End of Life;2009;45;230;4;8;2530;2,079441542;SmartCache;64-bit;95;32;2;21
Legacy;Server;End of Life;2009;45;594;4;8;2930;2,079441542;SmartCache;64-bit;130;24;3;25,6
Legacy;Server;Launched;2009;45;249;4;8;2660;2,079441542;SmartCache;64-bit;95;32;2;21
Legacy;Server;End of Life;2009;45;305;4;8;3060;2,079441542;SmartCache;64-bit;130;24;3;25,6
Legacy;Server;End of Life;2009;45;333,5;4;8;2800;2,079441542;SmartCache;64-bit;95;32;2;21
Legacy;Server;End of Life;2009;45;305;4;8;3200;2,079441542;SmartCache;64-bit;130;24;3;25,6
Legacy;Server;End of Life;2009;45;339;4;8;2930;2,079441542;SmartCache;64-bit;95;32;2;21
Legacy;Server;End of Life;2009;45;1059;4;8;3200;2,079441542;SmartCache;64-bit;130;24;3;32
Legacy;Server;End of Life;2009;45;1059;4;8;3330;2,079441542;SmartCache;64-bit;130;24;3;32
Legacy;Desktop;End of Interactive Support;2010;32;86,5;2;2;2800;1,098612289;SmartCache;64-bit;73;16,38;2;17
Legacy;Desktop;End of Interactive Support;2010;45;43;1;2;1660;-0,693147181;L2;64-bit;10;4;1;6,4
Legacy;Desktop;End of Interactive Support;2010;45;63;2;4;1660;0;L2;64-bit;13;4;1;6,4
Legacy;Desktop;End of Interactive Support;2010;45;63;2;4;1800;0;L2;64-bit;13;4;1;6,4
Legacy;Desktop;End of Interactive Support;2010;45;42;1;2;1800;-0,693147181;L2;64-bit;10;4;1;6,4
Legacy;Desktop;End of Interactive Support;2010;32;117;2;4;2930;1,386294361;SmartCache;64-bit;73;16,38;2;21
Legacy;Desktop;End of Interactive Support;2010;32;113;2;4;3060;1,386294361;SmartCache;64-bit;73;16,38;2;21
