Sesso	Eta	Altezza	Comune	NCF	Diploma	EspLav	GIP	GIM
F	19	165	ALTAVILLAM	4	Scientifico	NO	Diploma	Diploma
F	19	167	MARSALA	4	SocioPeda	SI	Diploma	Diploma
F	19	170	ALCAMO	5	Scientifico	SI	Media	Media
F	19	175	ALCAMO	5	Scientifico	SI	Media	Media
M	21	172	PALERMO	5	ITI	SI	Elementare	Media
F	19	168	BELMONTE	4	Classico	SI	Media	Media
M	20	178	BAGHERIA	4	Scientifico	NO	Diploma	Diploma
F	19	153	BELMONTE	5	SocioPeda	NO	Diploma	Media
F	19	168	BELMONTE	4	Linguistico	SI	Media 	Media
M	19	184	MONREALE	4	Scientifico	SI	Diploma	Diploma
F	23	161	PALERMO	4	Scientifico	SI	Laurea	Diploma
M	20	177	PALERMO	4	Ragioneria	SI	Diploma	Laurea
M	22	182	MONTELEPRE	4	Ragioneria	NO	Media	Media
M	19	173	PALERMO	4	Scientifico	NO	Diploma	Diploma
M	19	182	PALERMO	4	Classico	NO	Diploma	Laurea
M	18	181	PALERMO	5	Classico	NO	Laurea	Laurea
M	19	175	PALERMO	4	Scientifico	SI	Laurea	Doploma
M	19	180	PALERMO	5	Scientifico	NO	Diploma	Diploma
M	18	171	PALERMO	5	Scientifico	SI	Diploma	Diploma
M	25	147.78	TRAPANI	4	Geometra	SI	Diploma	Laurea
M	21	190	PALERMO	4	Scientifico	NO	Laurea	Diploma
M	18	174.42	PALERMO	5	Commerciale	NO	Media	Diploma
M	18	181	PALERMO	4	Scientifico	NO	Laurea	Laurea
M	19	170.33	MONTEMAGGIORE	4	Commerciale	SI	Media	Media
M	21	184.63	PALERMO	3	Scientifico	SI	Diploma	Media
F	20	168	BAGHERIA	4	Scientifico	SI	Media	Elementare
F	19	163	BAGHERIA	4	Scientifico	NO	Diploma	Diploma
M	18	170	MISTERBIANCO	5	Scientifico	NO	Diploma	Media
M	21	175.27	PALERMO	4	Alberghiero	SI	Media	Diploma
M	20	181	MARSALA	3	Commerciale	SI	Elementare	Elementare
F	18	154	PALERMO	4	Scientifico	NO	Diploma	Diploma
M	20	177	MONREALE	4	Geometra	SI	Diploma	Diploma
